el,sc,obs_wl,unc_obs_wl,calc_wl,unc_calc_wn,intens,c1,t1,j1,g1,c2,t2,j2,g2,rem,A,osc_str,line_str,log_gf,Accur,type,tp_ref,line_ref,low_level_id,upp_level_id,line_id
C,1,,,1158.97,,,2s2.2p2,3P,2,5,2s2.2p.5d,3F*,3,7,,7.22e+06,2.04e-03,3.88e-02,-1.992,C+,,T7333,,006001.000007,006001.000097,301150
C,1,,,1159.09,,,2s2.2p2,3P,2,5,2s2.2p.5d,3F*,2,5,,3.55e+05,7.1e-05,1.36e-03,-3.447,C,,T7333,,006001.000007,006001.000095,301152
C,1,,,1160.51,,,2s2.2p2,3P,1,3,2s2.2p.5d,1D*,2,5,,3.27e+05,1.10e-04,1.26e-03,-3.481,C,,T7333,,006001.000006,006001.000094,301149
C,1,,,1160.88,,,2s2.2p2,3P,2,5,2s2.2p.5d,1D*,2,5,,1.19e+05,2.40e-05,4.58e-04,-3.92,C,,T7333,,006001.000007,006001.000094,301148
C,1,,,1188.833,,,2s2.2p2,3P,0,1,2s2.2p.4d,3P*,1,3,,1.95e+07,1.24e-02,4.86e-02,-1.906,B,,T7333,,006001.000001,006001.000083,33794
C,1,1188.992,,1188.992,,150,2s2.2p2,3P,1,3,2s2.2p.4d,3P*,0,1,,7.18e+07,5.07e-03,5.96e-02,-1.818,B,,T7333,L1113,006001.000006,006001.000084,33629
C,1,,,1189.065,,,2s2.2p2,3P,1,3,2s2.2p.4d,3P*,1,3,,2.01e+07,4.27e-03,5.01e-02,-1.893,B,,T7333,,006001.000006,006001.000083,33792
C,1,,,1189.249,,,2s2.2p2,3P,1,3,2s2.2p.4d,3P*,2,5,,1.09e+07,3.86e-03,4.53e-02,-1.937,B,,T7333,,006001.000006,006001.000082,33793
C,1,1189.447,,1189.447,,150,2s2.2p2,3P,2,5,2s2.2p.4d,3P*,1,3,,2.96e+07,3.77e-03,7.37e-02,-1.725,B,,T7333,L1113,006001.000007,006001.000083,33630
C,1,1189.631,,1189.631,,200,2s2.2p2,3P,2,5,2s2.2p.4d,3P*,2,5,,5.28e+07,1.12e-02,2.19e-01,-1.252,B,,T7333,L1113,006001.000007,006001.000082,33631
C,1,,,1190.021,,,2s2.2p2,3P,0,1,2s2.2p.4d,1P*,1,3,,9.06e+05,5.77e-04,2.26e-03,-3.239,C+,,T7333,,006001.000001,006001.000079,33790
C,1,,,1190.253,,,2s2.2p2,3P,1,3,2s2.2p.4d,1P*,1,3,,4.79e+05,1.02e-04,1.20e-03,-3.515,C+,,T7333,,006001.000006,006001.000079,33791
C,1,,,1190.64,,,2s2.2p2,3P,2,5,2s2.2p.4d,1P*,1,3,,1.26e+04,1.61e-06,3.15e-05,-5.095,C,,T7333,,006001.000007,006001.000079,301147
C,1,,,1191.838,,,2s2.2p2,3P,2,5,2s2.2p.4d,1F*,3,7,,2.91e+06,8.67e-04,1.70e-02,-2.363,C+,,T7333,,006001.000007,006001.000072,33789
C,1,,,1192.218,,,2s2.2p2,3P,0,1,2s2.2p.5s,1P*,1,3,,2.15e+06,1.37e-03,5.4e-03,-2.86,C,,T7333,,006001.000001,006001.000067,33788
C,1,,,1192.451,,,2s2.2p2,3P,1,3,2s2.2p.5s,1P*,1,3,,7.6e+06,1.62e-03,1.91e-02,-2.313,C,,T7333,,006001.000006,006001.000067,33787
C,1,,,1192.835,,,2s2.2p2,3P,2,5,2s2.2p.5s,1P*,1,3,,2.19e+06,2.80e-04,5.50e-03,-2.854,B,,T7333,,006001.000007,006001.000067,33786
C,1,1193.009,,1193.009,,300,2s2.2p2,3P,1,3,2s2.2p.4d,3D*,2,5,,7.91e+07,2.81e-02,3.31e-01,-1.074,B+,,T7333,L1113,006001.000006,006001.000065,33632
C,1,1193.031,,1193.031,,300,2s2.2p2,3P,0,1,2s2.2p.4d,3D*,1,3,,6.39e+07,4.09e-02,1.61e-01,-1.388,B+,,T7333,L1113,006001.000001,006001.000064,33633
C,1,1193.240,,1193.240,,300,2s2.2p2,3P,2,5,2s2.2p.4d,3D*,3,7,,1.11e+08,3.32e-02,6.52e-01,-0.780,B+,,T7333,L1113,006001.000007,006001.000066,33634
C,1,1193.264,,1193.264,,300,2s2.2p2,3P,1,3,2s2.2p.4d,3D*,1,3,,4.29e+07,9.16e-03,1.08e-01,-1.561,B+,,T7333,L1113,006001.000006,006001.000064,33635
C,1,1193.393,,1193.393,,100,2s2.2p2,3P,2,5,2s2.2p.4d,3D*,2,5,,3.46e+07,7.39e-03,1.45e-01,-1.432,B+,,T7333,L1113,006001.000007,006001.000065,33636
