el,sc,obs_wl,unc_obs_wl,calc_wl,unc_calc_wn,intens,c1,t1,j1,g1,c2,t2,j2,g2,rem,A,osc_str,line_str,log_gf,Accur,type,tp_ref,line_ref,low_level_id,upp_level_id,line_id
N,2,,,574.650,,,2s2.2p2,1D,2,5,2s2.2p.3d,1F*,3,7,,3.83e+09,2.65e-01,2.51e+00,0.123,A,,T7333,,007002.000018,007002.000054,38051
N,2,,,576.060,,,2s2.2p2,1D,2,5,2s2.2p.3d,3P*,1,3,,4.22e+04,1.06e-06,9.26e-06,-5.275,C,,T7333,,007002.000018,007002.000052,302012
N,2,,,576.232,,,2s2.2p2,1D,2,5,2s2.2p.3d,3P*,2,5,,3.23e+06,1.61e-04,1.53e-03,-3.095,B+,,T7333,,007002.000018,007002.000051,38050
N,2,,,580.802,,,2s2.2p2,1D,2,5,2s2.2p.3d,3D*,3,7,,1.39e+06,9.82e-05,9.39e-04,-3.309,B+,,T7333,,007002.000018,007002.000050,38048
N,2,,,580.904,,,2s2.2p2,1D,2,5,2s2.2p.3d,3D*,2,5,,1.38e+07,6.97e-04,6.67e-03,-2.458,B+,,T7333,,007002.000018,007002.000049,38049
N,2,,,582.156,,,2s2.2p2,1D,2,5,2s2.2p.3d,1D*,2,5,,2.74e+09,1.39e-01,1.33e+00,-0.158,A,,T7333,,007002.000018,007002.000047,38047
N,2,,,583.925,,,2s2.2p2,1D,2,5,2s2.2p.3d,3F*,3,7,,2.32e+06,1.66e-04,1.60e-03,-3.081,A,,T7333,,007002.000018,007002.000045,38045
N,2,,,584.128,,,2s2.2p2,1D,2,5,2s2.2p.3d,3F*,2,5,,2.35e+07,1.20e-03,1.16e-02,-2.221,A,,T7333,,007002.000018,007002.000044,38046
N,2,,,599.644,,,2s2.2p2,3P,0,1,2s.2p3,1P*,1,3,,1.02e+04,1.65e-06,3.27e-06,-5.781,B,,T7333,,007002.000001,007002.000037,37993
N,2,,,599.819,,,2s2.2p2,3P,1,3,2s.2p3,1P*,1,3,,1.69e+05,9.14e-06,5.41e-05,-4.562,B,,T7333,,007002.000016,007002.000037,37992
N,2,,,600.115,,,2s2.2p2,3P,2,5,2s.2p3,1P*,1,3,,3.15e+04,1.02e-06,1.01e-05,-5.292,B,,T7333,,007002.000017,007002.000037,37991
N,2,,,605.437,,,2s2.2p2,1S,0,1,2s2.2p.4s,1P*,1,3,,3.77e+08,6.22e-02,1.24e-01,-1.207,C+,,"T5520,T6385",,007002.000019,007002.000059,38068
N,2,,,610.116,,,2s2.2p2,1S,0,1,2s2.2p.4s,3P*,1,3,,1.34e+06,2.24e-04,4.51e-04,-3.649,D,,T6385,,007002.000019,007002.000057,38067
N,2,,,629.167,,,2s.2p3,5S*,2,5,2s.2p2.(4P).3s,5P,3,7,,1.08e+09,8.97e-02,9.29e-01,-0.348,C+,,T6385n,,007002.000020,007002.000071,38071
N,2,,,629.447,,,2s.2p3,5S*,2,5,2s.2p2.(4P).3s,5P,2,5,,1.07e+09,6.36e-02,6.59e-01,-0.498,C+,,T6385n,,007002.000020,007002.000070,38072
N,2,,,629.670,,,2s.2p3,5S*,2,5,2s.2p2.(4P).3s,5P,1,3,,1.07e+09,3.82e-02,3.96e-01,-0.719,C+,,T6385n,,007002.000020,007002.000069,38073
N,2,,,635.197,,,2s2.2p2,1S,0,1,2s2.2p.3d,1P*,1,3,,2.58e+09,4.69e-01,9.80e-01,-0.329,B+,,T7333,,007002.000019,007002.000055,38066
N,2,,,640.121,,,2s2.2p2,1S,0,1,2s2.2p.3d,3P*,1,3,,2.30e+06,4.24e-04,8.94e-04,-3.372,B,,T7333,,007002.000019,007002.000052,38065
N,2,644.634,,644.634,,285,2s2.2p2,3P,0,1,2s.2p3,3S*,1,3,,1.19e+09,2.22e-01,4.72e-01,-0.653,A,,T7333,L3513,007002.000001,007002.000032,36793
N,2,644.837,,644.837,,360,2s2.2p2,3P,1,3,2s.2p3,3S*,1,3,,3.56e+09,2.22e-01,1.42e+00,-0.176,A,,T7333,L3513,007002.000016,007002.000032,36794
N,2,645.178,,645.178,,450,2s2.2p2,3P,2,5,2s.2p3,3S*,1,3,,5.94e+09,2.22e-01,2.36e+00,0.046,A,,T7333,L3513,007002.000017,007002.000032,36795
N,2,,,646.209,,,2s2.2p2,1S,0,1,2s2.2p.3d,3D*,1,3,,1.43e+06,2.68e-04,5.70e-04,-3.572,B,,T7333,,007002.000019,007002.000048,38064
N,2,660.286,,660.286,,360,2s2.2p2,1D,2,5,2s.2p3,1P*,1,3,,3.17e+09,1.24e-01,1.35e+00,-0.207,B+,,T7333,L3513,007002.000018,007002.000037,36796
N,2,,,670.296,,,2s2.2p2,3P,0,1,2s2.2p.3s,1P*,1,3,,3.80e+07,7.67e-03,1.69e-02,-2.115,B+,,T7333,,007002.000001,007002.000031,37990
N,2,,,670.515,,,2s2.2p2,3P,1,3,2s2.2p.3s,1P*,1,3,,3.02e+07,2.03e-03,1.35e-02,-2.215,B+,,T7333,,007002.000016,007002.000031,37989
N,2,,,670.884,,,2s2.2p2,3P,2,5,2s2.2p.3s,1P*,1,3,,3.68e+07,1.49e-03,1.65e-02,-2.127,B+,,T7333,,007002.000017,007002.000031,37988
N,2,671.016,,671.016,,170,2s2.2p2,3P,1,3,2s2.2p.3s,3P*,2,5,,2.84e+08,3.20e-02,2.12e-01,-1.018,B+,,T7333,L3513,007002.000016,007002.000030,36797
N,2,671.386,,671.386,,285,2s2.2p2,3P,2,5,2s2.2p.3s,3P*,2,5,,8.52e+08,5.76e-02,6.36e-01,-0.541,B+,,T7333,L3513,007002.000017,007002.000030,36798
N,2,,,671.411,,,2s2.2p2,3P,0,1,2s2.2p.3s,3P*,1,3,,3.40e+08,6.89e-02,1.52e-01,-1.161,B+,,T7333,,007002.000001,007002.000029,37987
N,2,671.630,,671.630,,150,2s2.2p2,3P,1,3,2s2.2p.3s,3P*,1,3,,2.53e+08,1.71e-02,1.14e-01,-1.290,B+,,T7333,L3513,007002.000016,007002.000029,36799
N,2,671.773,,671.773,,160,2s2.2p2,3P,1,3,2s2.2p.3s,3P*,0,1,,1.13e+09,2.56e-02,1.70e-01,-1.115,B+,,T7333,L3513,007002.000016,007002.000028,36800
N,2,672.001,,672.001,,170,2s2.2p2,3P,2,5,2s2.2p.3s,3P*,1,3,,4.38e+08,1.78e-02,1.97e-01,-1.051,B+,,T7333,L3513,007002.000017,007002.000029,36801
N,2,,,693.774,,,2s2.2p2,3P,1,3,2s.2p3,1D*,2,5,,5.66e+03,6.80e-07,4.66e-06,-5.690,C+,,T7333,,007002.000016,007002.000027,37986
N,2,,,694.169,,,2s2.2p2,3P,2,5,2s.2p3,1D*,2,5,,4.14e+04,2.99e-06,3.42e-05,-4.825,C+,,T7333,,007002.000017,007002.000027,37985
N,2,,,715.254,,,2s2.2p2,1D,2,5,2s.2p3,3S*,1,3,,1.06e+05,4.86e-06,5.72e-05,-4.615,B+,,T7333,,007002.000018,007002.000032,38044
N,2,,,745.841,,,2s2.2p2,1S,0,1,2s.2p3,1P*,1,3,,1.35e+09,3.37e-01,8.27e-01,-0.473,B+,,T7333,,007002.000019,007002.000037,38063
N,2,746.984,,746.984,,285,2s2.2p2,1D,2,5,2s2.2p.3s,1P*,1,3,,3.69e+09,1.85e-01,2.28e+00,-0.033,A,,T7333,L3513,007002.000018,007002.000031,36802
N,2,,,747.606,,,2s2.2p2,1D,2,5,2s2.2p.3s,3P*,2,5,,7.17e+03,6.01e-07,7.39e-06,-5.522,C+,,T7333,,007002.000018,007002.000030,38042
N,2,,,748.369,,,2s2.2p2,1D,2,5,2s2.2p.3s,3P*,1,3,,3.81e+08,1.92e-02,2.36e-01,-1.018,A,,T7333,,007002.000018,007002.000029,38043
N,2,775.965,,775.965,,650,2s2.2p2,1D,2,5,2s.2p3,1D*,2,5,,3.14e+09,2.84e-01,3.62e+00,0.152,A,,T7333,L3513,007002.000018,007002.000027,36803
N,2,,,816.740,,,2s2.2p2,1S,0,1,2s.2p3,3S*,1,3,,1.85e+04,5.55e-06,1.49e-05,-5.255,B+,,T7333,,007002.000019,007002.000032,38062
N,2,,,834.070,,,2s.2p3,5S*,2,5,2s2.2p.3p,3D,3,7,,8.13e+01,1.19e-08,1.63e-07,-7.227,D,,T7333,,007002.000020,007002.000036,302015
N,2,,,834.740,,,2s.2p3,5S*,2,5,2s2.2p.3p,3D,2,5,,2.42e+01,2.52e-09,3.47e-08,-7.899,D,,T7333,,007002.000020,007002.000035,302013
N,2,,,835.163,,,2s.2p3,5S*,2,5,2s2.2p.3p,3D,1,3,,3.04e+00,1.91e-10,2.62e-09,-9.020,D,,T7333,,007002.000020,007002.000034,302014
N,2,,,836.187,,,2s.2p3,3D*,3,7,2s.2p2.(4P).3s,3P,2,5,,1.23e+09,9.21e-02,1.77e+00,-0.191,D+,,T6385n,,007002.000021,007002.000099,38106
N,2,,,836.279,,,2s.2p3,3D*,2,5,2s.2p2.(4P).3s,3P,2,5,,2.17e+08,2.28e-02,3.13e-01,-0.944,D+,,T6385n,,007002.000022,007002.000099,38109
N,2,,,836.289,,,2s.2p3,3D*,1,3,2s.2p2.(4P).3s,3P,2,5,,1.44e+07,2.52e-03,2.08e-02,-2.122,D,,T6385n,,007002.000023,007002.000099,38111
N,2,,,836.616,,,2s.2p3,3D*,2,5,2s.2p2.(4P).3s,3P,1,3,,1.09e+09,6.86e-02,9.45e-01,-0.465,D+,,T6385n,,007002.000022,007002.000098,38107
N,2,,,836.627,,,2s.2p3,3D*,1,3,2s.2p2.(4P).3s,3P,1,3,,3.61e+08,3.79e-02,3.13e-01,-0.944,D+,,T6385n,,007002.000023,007002.000098,38110
N,2,,,836.837,,,2s.2p3,3D*,1,3,2s.2p2.(4P).3s,3P,0,1,,1.45e+09,5.07e-02,4.19e-01,-0.817,D+,,T6385n,,007002.000023,007002.000097,38108
N,2,,,858.376,,,2s2.2p2,1S,0,1,2s2.2p.3s,1P*,1,3,,2.56e+07,8.50e-03,2.40e-02,-2.071,C+,,T7333,,007002.000019,007002.000031,38061
N,2,,,860.205,,,2s2.2p2,1S,0,1,2s2.2p.3s,3P*,1,3,,2.65e+06,8.82e-04,2.50e-03,-3.054,C+,,T7333,,007002.000019,007002.000029,38060
N,2,,,898.575,,,2s.2p3,3D*,2,5,2s2.2p.4p,3S,1,3,,1.16e+07,8.43e-04,1.25e-02,-2.375,D,,T6385,,007002.000022,007002.000067,38104
N,2,,,898.587,,,2s.2p3,3D*,1,3,2s2.2p.4p,3S,1,3,,3.91e+06,4.73e-04,4.20e-03,-2.848,D,,T6385,,007002.000023,007002.000067,38105
N,2,,,900.724,,,2s.2p3,3D*,3,7,2s2.2p.4p,3P,2,5,,3.54e+08,3.08e-02,6.38e-01,-0.667,D,,T6385n,,007002.000021,007002.000066,38098
N,2,,,900.830,,,2s.2p3,3D*,2,5,2s2.2p.4p,3P,2,5,,6.72e+07,8.18e-03,1.21e-01,-1.389,D,,T6385n,,007002.000022,007002.000066,38101
N,2,,,900.843,,,2s.2p3,3D*,1,3,2s2.2p.4p,3P,2,5,,4.66e+06,9.45e-04,8.41e-03,-2.547,D,,T6385n,,007002.000023,007002.000066,38103
N,2,,,901.398,,,2s.2p3,3D*,2,5,2s2.2p.4p,3P,1,3,,3.07e+08,2.24e-02,3.33e-01,-0.950,D,,T6385n,,007002.000022,007002.000065,38099
N,2,,,901.411,,,2s.2p3,3D*,1,3,2s2.2p.4p,3P,1,3,,1.07e+08,1.30e-02,1.16e-01,-1.408,D,,T6385n,,007002.000023,007002.000065,38102
N,2,,,901.626,,,2s.2p3,3D*,1,3,2s2.2p.4p,3P,0,1,,4.29e+08,1.74e-02,1.55e-01,-1.282,D,,T6385n,,007002.000023,007002.000064,38100
N,2,,,903.962,,,2s.2p3,3D*,3,7,2s2.2p.4p,3D,3,7,,1.35e+07,1.65e-03,3.45e-02,-1.936,D,,T6385,,007002.000021,007002.000063,38091
N,2,,,904.069,,,2s.2p3,3D*,2,5,2s2.2p.4p,3D,3,7,,1.65e+06,2.83e-04,4.21e-03,-2.849,D,,T6385,,007002.000022,007002.000063,38096
N,2,,,904.748,,,2s.2p3,3D*,3,7,2s2.2p.4p,3D,2,5,,9.78e+06,8.57e-04,1.79e-02,-2.222,D,,T6385,,007002.000021,007002.000062,38094
N,2,,,904.855,,,2s.2p3,3D*,2,5,2s2.2p.4p,3D,2,5,,6.62e+06,8.13e-04,1.21e-02,-2.391,D,,T6385,,007002.000022,007002.000062,38092
N,2,,,904.867,,,2s.2p3,3D*,1,3,2s2.2p.4p,3D,2,5,,1.75e+06,3.58e-04,3.20e-03,-2.969,D,,T6385,,007002.000023,007002.000062,38097
