el,sc,conf,term,parity,j_val,energy,suffix,unc,perc,conf1,term1,perc2,conf2,term2,lande_g,bibref,level_id,seq_no
C,1,2s2.2p.15d,1P*,o,1,90395.5,,,,,,,,,,,006001.000250,249
C,1,2s2.2p.17d,3F*,o,3,90437.8,,,,,,,,,,,006001.000251,250
C,1,2s2.2p.16d,1F*,o,3,90453.1,,,,,,,,,,,006001.000252,251
C,1,2s2.2p.16d,1P*,o,1,90454.2,,,,,,,,,,,006001.000253,252
C,1,2s2.2p.18d,3F*,o,3,90479.2,,,,,,,,,,,006001.000254,253
C,1,2s2.2p.17d,1F*,o,3,90502.1,,,,,,,,,,,006001.000255,254
C,1,2s2.2p.17d,1P*,o,1,90502.5,,,,,,,,,,,006001.000256,255
C,1,2s2.2p.19d,3F*,o,3,90514.2,,,,,,,,,,,006001.000257,256
C,1,2s2.2p.20d,3F*,o,3,90543.9,,,,,,,,,,,006001.000259,258
C,1,2s2.2p.18d,1F*,o,3,90543.9,,,,,,,,,,,006001.000258,257
C,1,2s2.2p.18d,1P*,o,1,90544.7,,,,,,,,,,,006001.000260,259
C,1,2s2.2p.21d,3F*,o,3,90570.3,,,,,,,,,,,006001.000261,260
C,1,2s2.2p.19d,1F*,o,3,90578.6,,,,,,,,,,,006001.000262,261
C,1,2s2.2p.19d,1P*,o,1,90578.8,,,,,,,,,,,006001.000263,262
C,1,2s2.2p.22d,3F*,o,3,90592.4,,,,,,,,,,,006001.000264,263
C,1,2s2.2p.20d,1F*,o,3,90609.6,,,,,,,,,,,006001.000265,264
C,1,2s2.2p.20d,1P*,o,1,90610.2,,,,,,,,,,,006001.000266,265
C,1,2s2.2p.21d,1F*,o,3,90634.2,,,,,,,,,,,006001.000267,266
C,1,2s2.2p.22d,1F*,o,3,90656.0,,,,,,,,,,,006001.000268,267
C,1,2s2.2p.23d,1F*,o,3,90676.0,,,,,,,,,,,006001.000269,268
C,1,2s2.2p.24d,1F*,o,3,90690.0,,,,,,,,,,,006001.000270,269
C,1,2s2.2p.25d,1F*,o,3,90708.0,,,,,,,,,,,006001.000271,270
C,1,2s2.2p.26d,1F*,o,3,90721.0,,,,,,,,,,,006001.000272,271
C,1,2s2.2p.27d,1F*,o,3,90732.7,,,,,,,,,,,006001.000273,272
C,1,2s2.2p.28d,1F*,o,3,90742.2,,,,,,,,,,,006001.000274,273
C,1,2s2.2p.29d,1F*,o,3,90753.8,,,,,,,,,,,006001.000275,274
C,1,C II (2p 2P*<1/2>),Limit,,,90820.42,,,,,,,,,,L7288,006001.Lim001,275
C,1,C II (2p 2P*<3/2>),Limit,,,90883.84,,,,,,,,,,,006001.Lim002,276
C,1,2s.2p2.(4P).3s,5P,e,1,103541.8,,,,,,,,,,,006001.000278,277
C,1,2s.2p2.(4P).3s,5P,e,2,103562.5,,,,,,,,,,,006001.000279,278
C,1,2s.2p2.(4P).3s,5P,e,3,103587.3,,,,,,,,,,,006001.000280,279
C,1,2s.2p3,3S*,o,1,105798.7,,,,,,,,,,,006001.000281,280
C,1,2s.2p3,1P*,o,1,119878,],,,,,,,,,,006001.000282,281
