el,sc,conf,term,parity,j_val,energy,suffix,unc,perc,conf1,term1,perc2,conf2,term2,lande_g,bibref,level_id,seq_no
N,2,2s.2p2.(4P).3d,5F,e,2,242986.76,,,,,,,,,,,007002.000173,161
N,2,2s.2p2.(4P).3d,5F,e,3,243012.77,,,,,,,,,,,007002.000174,162
N,2,2s.2p2.(4P).3d,5F,e,4,243046.56,,,,,,,,,,,007002.000175,163
N,2,2s.2p2.(4P).3d,5F,e,5,243086.94,,,,,,,,,,,007002.000176,164
N,2,2s.2p2.(4P).3d,5P,e,3,244353.31,,,,,,,,,,,007002.000177,165
N,2,2s.2p2.(4P).3d,5P,e,2,244391.88,,,,,,,,,,,007002.000178,166
N,2,2s.2p2.(4P).3d,5P,e,1,244418.52,,,,,,,,,,,007002.000179,167
N,2,2s.2p2.(4P).3d,5D,e,0,244935.74,,,,,,,,,,,007002.000180,168
N,2,2s.2p2.(4P).3d,5D,e,1,244939.89,,,,,,,,,,,007002.000181,169
N,2,2s.2p2.(4P).3d,5D,e,2,244947.77,,,,,,,,,,,007002.000182,170
N,2,2s.2p2.(4P).3d,5D,e,3,244958.95,,,,,,,,,,,007002.000183,171
N,2,2s.2p2.(4P).3d,5D,e,4,244973.31,,,,,,,,,,,007002.000184,172
N,2,2s.2p2.(4P).4f,5G*,o,4,268378.35,,,,,,,,,,,007002.000185,175
N,2,2s.2p2.(4P).4f,5D*,o,4,268415.27,,,,,,,,,,,007002.000186,182
N,2,2s.2p2.(4P).4f,5G*,o,5,268415.85,,,,,,,,,,,007002.000187,176
N,2,2s.2p2.(4P).4f,5G*,o,6,268463.26,,,,,,,,,,,007002.000188,177
N,2,2s.2p2.(4P).4f,5F*,o,3,268716.02,,,,,,,,,,,007002.000189,185
N,2,2s.2p2.(4P).4f,5F*,o,4,268724.91,,,,,,,,,,,007002.000190,186
N,2,2s.2p2.(4P).4f,5F*,o,5,268733.72,,,,,,,,,,,007002.000191,187
N,2,2s.2p2.(4P).5f,5G*,o,4,278333.5,,,,,,,,,,,007002.000192,190
N,2,2s.2p2.(4P).5f,5G*,o,5,278367.3,,,,,,,,,,,007002.000193,191
N,2,2s.2p2.(4P).5f,5G*,o,6,278420.26,,,,,,,,,,,007002.000194,192
N,2,N III (2s.2p2 4P*<1/2>),Limit,,,295937.6,,,,,,,,,,,007002.Lim003,193
N,2,N III (2s.2p2 4P*<3/2>),Limit,,,295997.3,,,,,,,,,,,007002.Lim004,194
N,2,N III (2s.2p2 4P*<5/2>),Limit,,,296078.4,,,,,,,,,,,007002.Lim005,195
